"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","TinyCOCALITE","TinyCOCALITETime","TinyCOCALITETime-4","TinyCOCALITETime-3","TinyCOCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"MiddlePhalanxTW",0.492207792207792,0.537012987012987,0.509090909090909,0.519480519480519,0.506493506493507,0.509090909090909,0.515584415584416,0.480519480519481,0.558441558441558,0.487012987012987,0.525974025974026
"MixedShapesRegularTrain",0.974020618556701,0.967298969072165,0.971958762886598,0.976494845360825,0.975340206185567,0.974556701030928,0.974185567010309,0.975670103092783,0.96701030927835,0.971546391752577,0.961814432989691
"MixedShapesSmallTrain",0.936907216494845,0.916123711340206,0.930969072164949,0.941030927835052,0.939958762886598,0.939092783505155,0.936989690721649,0.936082474226804,0.922474226804124,0.934020618556701,0.906474226804124
"MoteStrain",0.884904153354633,0.852555910543131,0.874760383386581,0.881789137380192,0.881629392971246,0.881629392971246,0.880031948881789,0.89297124600639,0.851437699680511,0.875718849840256,0.843929712460064
"NonInvasiveFetalECGThorax1",0.950941475826972,0.950330788804071,0.954809160305343,0.963867684478371,0.963358778625954,0.961628498727735,0.960610687022901,0.954198473282443,0.960814249363868,0.937913486005089,0.938015267175573
"NonInvasiveFetalECGThorax2",0.955776081424936,0.949363867684478,0.95175572519084,0.963358778625954,0.961424936386769,0.960712468193384,0.958066157760814,0.96030534351145,0.955216284987277,0.948295165394402,0.940254452926209
"OliveOil",0.663333333333333,0.84,0.786666666666667,0.766666666666667,0.78,0.773333333333333,0.78,0.666666666666667,0.866666666666667,0.666666666666667,0.8
"OSULeaf",0.961570247933884,0.918595041322314,0.947933884297521,0.946280991735537,0.951239669421488,0.951652892561983,0.95,0.966942148760331,0.925619834710744,0.955371900826446,0.914876033057851
"PhalangesOutlinesCorrect",0.830652680652681,0.841258741258741,0.835897435897436,0.857808857808858,0.854312354312354,0.848484848484848,0.842424242424242,0.836829836829837,0.856643356643357,0.811888111888112,0.824475524475525
"Phoneme",0.31503164556962,0.285073839662447,0.305168776371308,0.334915611814346,0.333649789029536,0.330221518987342,0.32246835443038,0.333333333333333,0.310654008438819,0.299472573839662,0.264029535864979
"PickupGestureWiimoteZ",0.72,0.818,0.784,0.82,0.816,0.806,0.798,0.7,0.9,0.692,0.784
"PigAirwayPressure",0.35625,0.382692307692308,0.399038461538462,0.480769230769231,0.460576923076923,0.445673076923077,0.433173076923077,0.432692307692308,0.413461538461538,0.300961538461538,0.353846153846154
"PigArtPressure",0.983173076923077,0.959134615384615,0.975961538461539,0.990384615384615,0.986538461538462,0.984615384615384,0.983173076923077,0.980769230769231,0.961538461538462,0.980769230769231,0.955769230769231
"PigCVP",0.930288461538461,0.826442307692308,0.886538461538462,0.932692307692308,0.934615384615385,0.930288461538461,0.925961538461538,0.942307692307692,0.850961538461538,0.890384615384615,0.800961538461539
"PLAID",0.886405959031657,0.891806331471136,0.897206703910615,0.912476722532588,0.912104283054004,0.908379888268157,0.904841713221602,0.895716945996276,0.908752327746741,0.872253258845438,0.868901303538175
"Plane",1,1,1,1,1,1,1,1,1,1,1
"PowerCons",0.957222222222222,0.944444444444444,0.958888888888889,0.966666666666667,0.965555555555556,0.958333333333333,0.958888888888889,0.966666666666667,0.95,0.953333333333333,0.936666666666667
"ProximalPhalanxOutlineCorrect",0.906185567010309,0.903436426116839,0.907903780068729,0.914089347079038,0.909965635738832,0.908591065292096,0.909965635738832,0.907216494845361,0.900343642611684,0.901030927835052,0.887972508591065
"ProximalPhalanxOutlineAgeGroup",0.849268292682927,0.83609756097561,0.839024390243903,0.839024390243902,0.841951219512195,0.840975609756098,0.84,0.853658536585366,0.84390243902439,0.842926829268293,0.829268292682927
"ProximalPhalanxTW",0.787317073170732,0.794634146341463,0.80390243902439,0.795121951219512,0.806829268292683,0.805365853658537,0.802926829268293,0.795121951219512,0.795121951219512,0.775609756097561,0.787317073170732
"RefrigerationDevices",0.4968,0.508533333333333,0.5024,0.509333333333333,0.506133333333333,0.506666666666667,0.501333333333333,0.504,0.504,0.4944,0.4944
"Rock",0.798,0.878,0.86,0.84,0.848,0.854,0.858,0.8,0.9,0.792,0.852
"ScreenType",0.593866666666667,0.566933333333333,0.575466666666667,0.592,0.587733333333333,0.5864,0.5872,0.608,0.578666666666667,0.578133333333333,0.568533333333333
