"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","COCALITE","COCALITETime","COCALITETime-4","COCALITETime-3","COCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"DistalPhalanxOutlineCorrect",0.767391304347826,0.759420289855072,0.767391304347826,0.778985507246377,0.777536231884058,0.771376811594203,0.771376811594203,0.782608695652174,0.757246376811594,0.7594202876091,0.763768112659454
"DistalPhalanxTW",0.682014388489209,0.670503597122302,0.676258992805755,0.712230215827338,0.703597122302158,0.701438848920863,0.69136690647482,0.683453237410072,0.676258992805755,0.680575561523437,0.674820137023926
"DodgerLoopDay",0.565,0.50875,0.5425,0.575,0.5825,0.585,0.5625,0.6,0.5375,0.542499983310699,0.462499988079071
"DodgerLoopGame",0.815217391304348,0.844927536231884,0.843478260869565,0.840579710144927,0.842028985507246,0.846376811594203,0.847826086956522,0.818840579710145,0.840579710144927,0.811594188213348,0.842028975486755
"DodgerLoopWeekend",0.971014492753623,0.952173913043478,0.968115942028986,0.971014492753623,0.971014492753623,0.971739130434783,0.971014492753623,0.971014492753623,0.963768115942029,0.972463774681091,0.949275374412537
"Earthquakes",0.72158273381295,0.723741007194244,0.720863309352518,0.726618705035971,0.730935251798561,0.727338129496403,0.731654676258993,0.719424460431655,0.726618705035971,0.709352517127991,0.705035984516144
"ECG200",0.897,0.919,0.908,0.92,0.92,0.92,0.916,0.91,0.93,0.893999993801117,0.906000006198883
"ECG5000",0.940777777777778,0.942422222222222,0.9416,0.944222222222222,0.944044444444444,0.943644444444444,0.942888888888889,0.940888888888889,0.942888888888889,0.939511120319366,0.940533339977264
"ECGFiveDays",0.995586527293844,1,0.999535423925668,1,1,0.999883855981417,0.999767711962834,0.995354239256678,1,0.996515679359436,0.999303138256073
"ElectricDevices",0.698327065231487,0.677331085462326,0.691479704318506,0.705096615225003,0.703799766567242,0.702191674231617,0.699546102969783,0.707041888211646,0.688886007002983,0.684243297576904,0.661652183532715
