Dataset,Density_Catch22,Mean_Density_Standard_Pairs,Coverage_Catch22,Mean_Coverage_Standard_Pairs,FID_Catch22,Mean_FID_Standard_Pairs
Lightning2,0.3278688524590164,0.0575591985428051,0.06557377049180328,0.10018214936247723,4.857784603539248,6.78843228247949
Lightning7,0.15068493150684933,0.00365296803652968,0.0136986301369863,0.0106544901065449,11.220864386887035,12.055120817710632
Mallat,0.0,0.0,0.0,0.0,9.575881651848807,9.551609862328151
Meat,0.54,0.031111111111111114,0.05,0.053703703703703705,7.601249685199131,10.972123512029928
MedicalImages,0.19131578947368422,0.004415204678362573,0.006578947368421052,0.008333333333333333,22.114613171397032,20.477025912916716
MelbournePedestrian,1.1833538335383353,0.0009384538289827342,0.006970069700697007,0.002551136622477336,38.94443841419993,35.99488732423342
MiddlePhalanxOutlineCorrect,0.325085910652921,0.006261932035127912,0.024054982817869417,0.016036655211912946,4.9101341351932035,7.273152602026586
MiddlePhalanxOutlineAgeGroup,0.3181818181818182,0.008658008658008658,0.01948051948051948,0.017316017316017316,9.634381346863565,11.258699810298134
MiddlePhalanxTW,0.0,0.005050505050505051,0.0,0.011544011544011544,19.825809947557083,17.86725956960492
MixedShapesRegularTrain,0.0,0.0006139747995418099,0.0,0.0014662084765177548,20.331207581808293,20.509103017062362
MixedShapesSmallTrain,0.04189690721649485,0.00031156930126002293,0.0004123711340206186,0.0010080183276059565,12.551463263325655,15.714798413061564
MoteStrain,0.20782747603833865,0.0019169329073482429,0.03913738019169329,0.004259850905218317,4.384261766160719,11.328382166356336
NonInvasiveFetalECGThorax1,0.0,5.6545094713033655e-05,0.0,5.654509471303364e-05,148.2467998778721,42.969109472684345
NonInvasiveFetalECGThorax2,0.0,2.261803788521346e-05,0.0,0.00011309018942606728,107.94300457766303,40.18112835472188
OliveOil,0.006666666666666667,0.0022222222222222227,0.03333333333333333,0.003703703703703704,3.8041751196822737,9.737272988077924
OSULeaf,0.0,0.00036730945821854917,0.0,0.0013774104683195593,12.467736899897364,16.098622596900164
PhalangesOutlinesCorrect,0.23986013986013988,0.004066304066304066,0.002331002331002331,0.005050505050505051,4.05496707280506,4.723209007999994
Phoneme,0.0,0.004594467885607126,0.0,0.01090014064697609,49.519162058923875,20.829705347062458
PickupGestureWiimoteZ,0.43200000000000005,0.021333333333333333,0.06,0.05555555555555555,12.693463318590808,14.179328214963668
PigAirwayPressure,0.6971153846153846,0.012286324786324788,0.028846153846153848,0.010149572649572648,65.69708124561488,37.99177432885089
PigArtPressure,0.0,0.03418803418803419,0.0,0.049145299145299144,48.46133596860331,30.142512921791017
PigCVP,0.0,0.026068376068376073,0.0,0.06303418803418803,46.9545972969221,24.22220302590827
PLAID,0.0,0.0026070763500931097,0.0,0.0028967515001034555,27.033034269743766,16.450214047623426
Plane,0.01904761904761905,0.0,0.009523809523809525,0.0,23.542276249398313,32.534416389372346
PowerCons,1.2755555555555558,0.023333333333333334,0.12222222222222222,0.043209876543209874,6.19991149157005,12.26072033811991
ProximalPhalanxOutlineCorrect,0.02336769759450172,0.002290950744558992,0.006872852233676976,0.0057273768613974796,4.080390879511608,6.330118665079106
ProximalPhalanxOutlineAgeGroup,0.0,0.0005420054200542005,0.0,0.002168021680216802,8.46177224326188,11.406398347583247
ProximalPhalanxTW,0.0,0.0,0.0,0.0,17.756683518456235,22.385996793370612
RefrigerationDevices,1.3349333333333335,0.007940740740740741,0.058666666666666666,0.014814814814814815,10.443942360262245,13.942440911122526
Rock,0.0,0.0071111111111111115,0.0,0.02,8.45487163202952,11.839054098105427
ScreenType,0.0048000000000000004,0.02494814814814815,0.008,0.020148148148148148,7.242421311239527,7.060408316186457
SemgHandGenderCh2,0.281,0.0011851851851851854,0.0033333333333333335,0.002037037037037037,3.7772536845740294,3.507856592591852
SemgHandMovementCh2,0.0,0.0002469135802469136,0.0,0.0009876543209876543,9.898876800638636,4.89999387544286
SemgHandSubjectCh2,0.0,0.008740740740740742,0.0,0.003703703703703704,12.981689885328556,6.625924115127635
ShakeGestureWiimoteZ,2.048,0.14400000000000002,0.38,0.2222222222222222,13.493204098703135,16.441499180068035
ShapeletSim,0.2066666666666667,0.015679012345679016,0.044444444444444446,0.02839506172839506,0.6024679781222066,1.184019224187074
ShapesAll,0.0,0.0024074074074074076,0.0,0.007037037037037038,121.09455773207542,43.50499436094594
SmallKitchenAppliances,0.0,0.0005925925925925927,0.0,0.0017777777777777779,11.58263924684999,11.373665132415693
SmoothSubspace,0.34800000000000003,0.006370370370370371,0.02,0.01037037037037037,11.064094629263899,22.882217138984682
SonyAIBORobotSurface1,0.18236272878535775,0.0014050656313551488,0.008319467554076539,0.002958032908116103,7.859851779892821,15.43401001145369
SonyAIBORobotSurface2,0.6350472193074501,0.0036609537134196114,0.011542497376705142,0.009443861490031479,8.149215466822206,14.690731207393023
StarLightCurves,0.0,0.0,0.0,0.0,15.588640188394388,15.873178893935156
Strawberry,0.5097297297297297,0.014414414414414418,0.016216216216216217,0.015315315315315317,5.244958511300048,7.462563895741831
SwedishLeaf,0.00064,0.0002133333333333333,0.0016,0.0008888888888888889,39.58405148983695,35.01009442243739
Symbols,0.168643216080402,0.001094360692350642,0.0010050251256281408,0.000446677833612507,14.326173011776746,21.307955810927826
SyntheticControl,0.0,0.0,0.0,0.0,21.072177944927404,36.652456860948654
ToeSegmentation1,1.1385964912280702,0.020760233918128652,0.08333333333333333,0.03654970760233918,6.107141078021132,12.599567314474942
ToeSegmentation2,0.9784615384615386,0.04136752136752137,0.09230769230769231,0.03675213675213675,5.603568691108381,12.04783037393668
Trace,0.0,0.0,0.0,0.0,12.583880246929446,20.735649056904663
TwoLeadECG,0.22493415276558384,0.0010730660423373332,0.001755926251097454,0.001268168959125939,8.327495245714037,15.783217745189196
TwoPatterns,0.0,0.0,0.0,0.0,24.083140054651565,38.02662179071676
UMD,0.2,0.00154320987654321,0.006944444444444444,0.00462962962962963,8.431280475951652,16.57388230591566
UWaveGestureLibraryAll,0.0,0.00011787331720330047,0.0,0.00043427011601215957,37.52648201332882,17.914309769905273
UWaveGestureLibraryX,0.0,0.00037843538681059624,0.0,0.0014579068180408214,40.33281230367444,22.582933595442917
UWaveGestureLibraryY,0.0,0.001532353123642906,0.0,0.003691295986103356,46.44121870672777,21.468881215165396
UWaveGestureLibraryZ,0.0,0.0004404739748123333,0.0,0.001550964700043427,42.96209244933539,22.034162751793854
Wafer,0.0003893575600259572,7.570841444949167e-05,0.0003244646333549643,0.0001081548777849881,14.137211829218495,22.52909599480796
Wine,0.6000000000000001,0.4283950617283951,0.05555555555555555,0.05555555555555555,9.832214779412801,11.177399544266468
WordSynonyms,0.0,0.011041448972483455,0.0,0.02560083594566353,31.490825794623547,16.212740536187138
Worms,0.08051948051948053,0.0406926406926407,0.025974025974025976,0.08225108225108227,11.583572666083294,9.767221319340782
WormsTwoClass,0.6181818181818182,0.032034632034632034,0.06493506493506493,0.05627705627705627,4.363338567702304,4.4536191843343165
Yoga,0.004,0.0008444444444444444,0.0003333333333333333,0.0006666666666666666,4.405890559650649,4.870314294190397
